date,description,amount
2025-01-05,Netflix,15.99
2025-02-05,Netflix,15.99
2025-03-05,Netflix,15.99
2025-04-05,Netflix,15.99
2025-05-05,Netflix,15.99
2025-01-10,Spotify,9.99
2025-02-10,Spotify,9.99
2025-03-10,Spotify,9.99
2025-04-10,Spotify,9.99
2025-05-10,Spotify,9.99
2025-01-01,Adobe Creative Cloud,54.99
2025-02-01,Adobe Creative Cloud,54.99
2025-03-01,Adobe Creative Cloud,54.99
2025-04-01,Adobe Creative Cloud,54.99
2025-05-01,Adobe Creative Cloud,54.99
2025-01-15,ChatGPT Plus,20.00
2025-02-15,ChatGPT Plus,20.00
2025-03-15,ChatGPT Plus,20.00
2025-04-15,ChatGPT Plus,20.00
2025-05-15,ChatGPT Plus,20.00
2025-01-03,Gym Membership,45.00
2025-02-03,Gym Membership,45.00
2025-03-03,Gym Membership,45.00
2025-04-03,Gym Membership,45.00
2025-05-03,Gym Membership,45.00
2025-01-20,iCloud Storage,2.99
2025-02-20,iCloud Storage,2.99
2025-03-20,iCloud Storage,2.99
2025-04-20,iCloud Storage,2.99
2025-05-20,iCloud Storage,2.99
2025-01-07,YouTube Premium,13.99
2025-02-07,YouTube Premium,13.99
2025-03-07,YouTube Premium,13.99
2025-04-07,YouTube Premium,13.99
2025-05-07,YouTube Premium,13.99
2025-01-12,Grocery Store,87.50
2025-02-18,Restaurant,42.00
2025-03-22,Gas Station,55.00
2025-04-08,Electronics Shop,199.99
2025-05-14,Clothing Store,65.00
